"user_id","june_amount","core"
315471,243.6361241,"not_core"
320549,483.7682549,"not_core"
320957,256.9495002,"not_core"
326778,856.1538466,"not_core"
331375,361.7779887,"not_core"
339505,624.3457209,"core"
359244,2427.5589429,"core"
363642,492.0424182,"not_core"
377805,804.272051,"not_core"
399790,684.4210808,"core"
401112,245.5028007,"not_core"
403165,405.9222105,"core"
406322,982.8376045,"core"
406864,2168.6848529,"core"
407134,693.9112815,"not_core"
409101,1223.6112127,"core"
410672,324.6169424,"not_core"
410873,272.43560314,"core"
414464,832.4939236,"not_core"
415732,855.8827699,"not_core"
416797,415.228292,"core"
418507,390.3431506,"not_core"
423026,880.1822055,"core"
423335,259.5356722,"not_core"
424349,1804.062163,"core"
431976,843.7808583,"not_core"
432638,1263.6599603,"core"
437808,593.3413664,"not_core"
446302,628.2752174,"not_core"
449510,1008.726014,"not_core"
460736,1124.304643,"not_core"
469361,468.3695094,"not_core"
474988,371.9859196,"not_core"
478715,380.0133789,"not_core"
480464,507.4427258,"not_core"
482717,860.9321282,"core"
491576,452.0145821,"core"
542831,364.7422191,"not_core"
543982,288.3222656,"not_core"
551785,804.9157519,"not_core"
552146,914.1814894,"not_core"
554711,615.7854052,"not_core"
580744,658.5988491,"not_core"
581735,180.5425238,"not_core"
582014,388.9270233,"not_core"
582596,570.7610013,"not_core"
583094,1216.234243,"not_core"
583179,409.194462,"not_core"
587081,468.2588962,"not_core"
588819,1374.615303,"not_core"
590590,971.0155605,"core"
593155,349.2737722,"not_core"
599664,600.3831748,"not_core"
602234,1437.7883518,"core"
603260,201.7164646,"not_core"
610730,747.5902555,"not_core"
611705,221.4416063,"not_core"
612147,1063.8105972,"not_core"
618103,1306.346438,"not_core"
618465,402.1621718,"not_core"
630968,1062.0824079,"core"
632400,780.4239666,"not_core"
638876,2969.3638004,"core"
639250,541.5341795,"not_core"
639512,252.151319,"not_core"
639639,340.1807969,"not_core"
642474,740.0653918,"not_core"
646324,584.3746492,"not_core"
647638,670.0044981,"not_core"
648694,527.9504467,"not_core"
667318,125.6018961,"not_core"
669723,752.6341054,"core"
676158,389.8916007,"not_core"
677186,443.4143871,"not_core"
679189,890.3387322,"not_core"
680702,129.7305157,"not_core"
683427,863.7047079,"not_core"
683916,324.4397869,"not_core"
686576,610.5369174,"core"
686779,979.4129294,"not_core"
687907,701.3800504,"not_core"
688237,271.1288206,"not_core"
688779,417.4470202,"not_core"
689037,748.4191579,"not_core"
689368,552.0380582,"not_core"
690243,1101.5770036,"core"
690502,980.3646075,"not_core"
690593,299.6928023,"not_core"
691324,184.0847004,"not_core"
693183,781.0026274,"not_core"
693748,266.8283958,"not_core"
693849,513.2031051,"not_core"
694260,430.137859,"not_core"
694287,708.5556917,"not_core"
694549,984.1141593,"not_core"
695619,233.8686353,"not_core"
695792,1546.4281413,"core"
696805,332.3501006,"not_core"
697632,558.083043,"not_core"
697727,392.7294752,"not_core"
699353,736.1164425,"not_core"
699686,503.0177121,"core"
700374,347.8204333,"not_core"
700963,1325.0019958,"core"
702327,191.3132892,"not_core"
702745,1810.5923792,"core"
703228,2455.7577231,"core"
704434,622.696442,"not_core"
704897,1286.553431,"not_core"
705870,506.3012986,"not_core"
706204,238.3413269,"not_core"
707598,393.9610306,"not_core"
707886,648.2525528,"not_core"
708619,879.0884596,"not_core"
709151,961.051931,"not_core"
709574,766.8712294,"not_core"
710484,3073.921231,"core"
711820,385.1856897,"not_core"
713173,301.1862084,"not_core"
713383,1002.7437252,"core"
714860,1850.1176864,"core"
715127,1304.8289298,"core"
715687,653.8317496,"not_core"
715719,401.052137,"not_core"
715886,765.525978,"not_core"
716464,892.2325924,"not_core"
716596,404.6304185,"not_core"
716789,152.1525612,"not_core"
716918,330.867558,"not_core"
718304,402.9327684,"not_core"
719018,307.0998566,"not_core"
719183,458.2869095,"not_core"
719307,792.0003555,"not_core"
719414,369.1170295,"core"
719631,1076.937046,"not_core"
720253,562.6635264,"not_core"
720873,818.3002133,"not_core"
721077,817.4003898,"not_core"
721469,721.9400927,"not_core"
721483,257.0905895,"not_core"
721592,884.0689604,"core"
721673,1378.5155342,"core"
721803,1041.200031,"not_core"
722077,711.8821528,"not_core"
